Table Names,CUI-1,DENUMIRE,LOCALITATI,CAEN,ACTIVE IMOBILIZATE - TOTAL,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Numar mediu de salariati,Profitul brut,Profitul net,ACTIVE CIRCULANTE - TOTAL din care:
SituatiiFinanciare2018.csv,10783082,DRUMURI-PODURI MARAMURES SA,Baia Mare,4211,12048342,3407577,1328934,7848058,51963,2404219,0,1187166,21093489,5402210,27131766,28164088,28076449,205,87639,58751,12584569
SituatiiFinanciare2015.csv,10783082,DRUMURI-PODURI MARAMURES SA,Baia Mare,4211,10937224,1011998,983996,10660619,2443,3023917,213621,1569444,18789298,2502210,26727640,26928581,23039615,229,3888966,3252097,12656613
SituatiiFinanciare2016.csv,10783082,DRUMURI-PODURI MARAMURES SA,Baia Mare,4211,12027342,807518,2072557,9268846,4782,2737314,66679,1737741,19639311,4002210,26310206,26610226,25054414,230,1555812,1261973,12148921
SituatiiFinanciare2017.csv,10783082,DRUMURI-PODURI MARAMURES SA,Baia Mare,4211,12694387,2629076,2791478,6669577,29290,2427881,0,1834883,20551044,4002210,24631711,26695307,24829988,220,1865319,1542720,12090131
SituatiiFinanciare2018.csv,16161089,CONSTRUROM SA,Baia Mare,4211,11010632,4540855,7391842,856583,89290,11863786,477834,,11547582,5000000,25188022,23666590,22460428,88,1206162,1031813,12789280
SituatiiFinanciare2015.csv,16161089,CONSTRUROM SA,Baia Mare,4211,12360416,1512035,6120743,1271148,124118,10634917,1191399,34823,9527321,5000000,38133253,33728146,32429829,148,1298317,1257487,8903926
SituatiiFinanciare2016.csv,16161089,CONSTRUROM SA,Baia Mare,4211,12359930,4617053,4774103,484657,325433,11552716,1082556,34823,9891081,5000000,23355649,26674154,25722280,131,951874,863760,9875813
SituatiiFinanciare2017.csv,16161089,CONSTRUROM SA,Baia Mare,4211,10078909,6223857,9047552,491332,99058,14652945,624626,,10663137,5000000,21068801,22910184,22035034,101,875150,772056,15762741
SituatiiFinanciare2015.csv,2208254,INTRACOM SA,Baia Mare,4211,2179492,55093,16944427,983090,7997,15093153,,,5076946,590400,17329479,16651374,13959927,82,2691447,2302093,17982610
SituatiiFinanciare2015.csv,26665350,DRUSALCONSTRUCT SA,Baia Mare,4211,1250112,172482,5628246,610830,,3743068,,,3918602,285826,13812430,14168480,10375709,76,3792771,3203753,6411558
